	Integrated [0.59, 0.69] from 2.219 to 6.539 seconds
	Integrated [0.69, 0.79] from 2.224 to 6.538 seconds
	Integrated [0.79, 0.88] from 2.230 to 6.489 seconds
	Integrated [0.88, 0.98] from 2.232 to 6.610 seconds
	Integrated [0.98, 1.08] from 2.232 to 6.529 seconds
	Integrated [1.08, 1.18] from 2.232 to 6.512 seconds
	Integrated [1.18, 1.28] from 2.233 to 6.534 seconds
	Integrated [1.28, 1.37] from 2.234 to 6.591 seconds
	Integrated [1.37, 1.47] from 2.235 to 6.680 seconds
	Integrated [1.47, 1.57] from 2.237 to 6.531 seconds
Threadpool with n_jobs=17 executed in 20.76591 seconds, res=1.0000000069982264
	Integrated [0.00, 0.09] from 0.000 to 18.965 seconds
	Integrated [0.09, 0.18] from 0.019 to 18.565 seconds
	Integrated [0.18, 0.28] from 0.057 to 20.593 seconds
	Integrated [0.28, 0.37] from 0.093 to 19.399 seconds
	Integrated [0.37, 0.46] from 0.124 to 20.467 seconds
	Integrated [0.46, 0.55] from 0.155 to 20.461 seconds
	Integrated [0.55, 0.65] from 0.203 to 20.663 seconds
	Integrated [0.65, 0.74] from 0.241 to 20.577 seconds
	Integrated [0.74, 0.83] from 0.333 to 20.290 seconds
	Integrated [0.83, 0.92] from 0.481 to 20.288 seconds
	Integrated [0.92, 1.02] from 0.543 to 20.709 seconds
	Integrated [1.02, 1.11] from 0.606 to 20.323 seconds
	Integrated [1.11, 1.20] from 0.700 to 20.319 seconds
	Integrated [1.20, 1.29] from 0.812 to 19.723 seconds
	Integrated [1.29, 1.39] from 1.060 to 20.756 seconds
	Integrated [1.39, 1.48] from 1.449 to 20.200 seconds
	Integrated [1.48, 1.57] from 1.539 to 20.765 seconds
Processpool with n_jobs=17 executed in 7.61053 seconds, res=1.0000000069982264
	Integrated [0.00, 0.09] from 2.440 to 6.806 seconds
	Integrated [0.09, 0.18] from 2.442 to 6.820 seconds
	Integrated [0.18, 0.28] from 2.459 to 6.900 seconds
	Integrated [0.28, 0.37] from 2.465 to 6.795 seconds
	Integrated [0.37, 0.46] from 2.465 to 6.992 seconds
	Integrated [0.46, 0.55] from 2.477 to 6.838 seconds
	Integrated [0.55, 0.65] from 2.517 to 6.901 seconds
	Integrated [0.65, 0.74] from 2.529 to 6.848 seconds
	Integrated [0.74, 0.83] from 2.533 to 6.899 seconds
	Integrated [0.83, 0.92] from 2.534 to 6.957 seconds
	Integrated [0.92, 1.02] from 2.536 to 6.939 seconds
